# x_m,y_m,w_tr_right_m,w_tr_left_m
269.6192451,-1142.66679,6,6
276.3738106,-1143.99586,6,6
283.1278569,-1145.32493,6,6
289.8828657,-1146.654,6,6
296.6344132,-1148.00993,6,6
303.3847563,-1149.37541,6,6
310.1351042,-1150.74091,6,6
316.8854562,-1152.10655,6,6
323.6358134,-1153.47205,6,6
330.3861754,-1154.83755,6,6
337.1365415,-1156.2032,6,6
343.8869129,-1157.56871,6,6
350.6538657,-1158.78377,6,6
357.4278029,-1159.92956,6,6
364.2020086,-1161.07535,6,6
370.9762192,-1162.22115,6,6
377.7504349,-1163.36694,6,6
384.5246557,-1164.51274,6,6
391.2988814,-1165.65854,6,6
398.0731119,-1166.80434,6,6
404.6777526,-1168.8357,6,6
411.4168657,-1170.22325,6,6
418.1767859,-1171.50669,6,6
424.936611,-1172.79013,6,6
431.6859561,-1174.15782,6,6
438.4069481,-1175.75354,6,6
445.1279453,-1177.34911,6,6
451.848947,-1178.94469,6,6
458.5738613,-1180.51126,6,6
465.3062771,-1182.02199,6,6
472.0386976,-1183.53271,6,6
478.7711227,-1185.04344,6,6
485.5021386,-1186.56497,6,6
492.2278455,-1188.13125,6,6
498.952535,-1189.69753,6,6
505.6772858,-1191.26381,6,6
512.402344,-1192.83009,6,6
519.1274067,-1194.39637,6,6
525.8038657,-1196.21054,6,6
532.2717001,-1199.0929,6,6
538.7400871,-1201.97264,6,6
545.2310727,-1204.76279,6,6
551.4255945,-1208.35069,6,6
557.0834725,-1213.38151,6,6
562.7413492,-1218.41249,6,6
568.2017174,-1223.80629,6,6
573.6381262,-1229.24432,6,6
579.0745338,-1234.6822,6,6
584.5109392,-1240.12024,6,6
588.32564,-1247.13724,6,6
592.8279728,-1253.89657,6,6
597.3303003,-1260.6559,6,6
601.8326223,-1267.41524,6,6
606.334939,-1274.17458,6,6
610.1409128,-1281.63382,6,6
613.8909767,-1289.14921,6,6
617.6410327,-1296.66461,6,6
621.3910808,-1304.18002,6,6
625.141121,-1311.69543,6,6
628.8911533,-1319.21084,6,6
632.6411773,-1326.72642,6,6
636.3912063,-1334.24185,6,6
640.1412389,-1341.75728,6,6
643.8912636,-1349.27272,6,6
647.6412805,-1356.78817,6,6
651.4927506,-1364.21136,6,6
655.4940246,-1371.49802,6,6
659.4952915,-1378.78468,6,6
663.4965513,-1386.07135,6,6
667.1750544,-1393.56914,6,6
669.1447042,-1402.1845,6,6
671.1136947,-1410.79986,6,6
670.683697,-1419.66857,6,6
669.8420731,-1428.59789,6,6
668.8755506,-1437.45083,6,6
667.2427956,-1446.19691,6,6
664.6838822,-1454.49471,6,6
661.5307589,-1462.48154,6,6
656.7518836,-1468.82814,6,6
651.5552407,-1474.68563,6,6
645.8067027,-1479.44354,6,6
639.6678762,-1483.40249,6,6
633.0655959,-1485.56677,6,6
626.3226167,-1487.03024,6,6
619.6121945,-1488.72088,6,6
612.9331291,-1490.6305,6,6
606.2534611,-1492.53997,6,6
599.5748657,-1494.44943,6,6
592.896064,-1496.35905,6,6
586.2169122,-1498.26851,6,6
579.5798826,-1500.41799,6,6
572.9465182,-1502.58847,6,6
566.3131585,-1504.75879,6,6
559.6798024,-1506.92926,6,6
553.0163366,-1508.92829,6,6
546.3398577,-1510.85333,6,6
539.6633835,-1512.77821,6,6
532.9869132,-1514.70325,6,6
526.298167,-1516.55183,6,6
519.6051913,-1518.37308,6,6
512.9121605,-1520.19447,6,6
506.2191341,-1522.01587,6,6
499.5481927,-1523.97008,6,6
492.895015,-1526.03132,6,6
486.2415979,-1528.09241,6,6
479.5888657,-1530.15365,6,6
472.9778367,-1532.3842,6,6
466.70388,-1535.96285,6,6
460.4298657,-1539.54134,6,6
454.1559739,-1543.11998,6,6
447.8820245,-1546.69846,6,6
441.9559055,-1551.0521,6,6
436.5588657,-1556.58718,6,6
431.1639615,-1562.12226,6,6
425.7679873,-1567.65718,6,6
420.3720106,-1573.19224,6,6
414.9760326,-1578.72715,6,6
409.5798196,-1584.2622,6,6
404.3283244,-1590.00027,6,6
