x_m,y_m,w_tr_right_m,w_tr_left_m
1508.636344,2156.471359,4,4
1513.498497,2151.163039,4,4
1516.679527,2147.069515,4,4
1520.158854,2140.642329,4,4
1522.612684,2135.467423,4,4
1524.741178,2129.077622,4,4
1531.18928,2108.827235,4,4
1533.870137,2102.856082,4,4
1538.033868,2096.732637,4,4
1540.464799,2094.328839,4,4
1543.49145,2091.597022,4,4
1547.352375,2089.187042,4,4
1551.228068,2087.310721,4,4
1557.32513,2085.228304,4,4
1560.844547,2084.619126,4,4
1565.086974,2084.16797,4,4
1569.44486,2084.804007,4,4
1573.289194,2086.16634,4,4
1576.146116,2088.101181,4,4
1578.847163,2090.574401,4,4
1583.225405,2095.805071,4,4
1586.540285,2100.920515,4,4
1596.420715,2117.548163,4,4
1601.274161,2124.011854,4,4
1605.406972,2128.859906,4,4
1609.657409,2132.558694,4,4
1613.297171,2135.273001,4,4
1618.010189,2137.946503,4,4
1623.829511,2140.745185,4,4
1629.796057,2142.950105,4,4
1636.096525,2144.62286,4,4
1643.458525,2146.088249,4,4
1651.704623,2147.362309,4,4
1658.305996,2148.08103,4,4
1671.724793,2149.612662,4,4
1683.380766,2150.69237,4,4
1711.01205,2152.35419,4,4
1750.27885,2153.327484,4,4
1794.190045,2154.495446,4,4
1836.172992,2155.405479,4,4
1852.649061,2155.829522,4,4
1865.456013,2155.820848,4,4
1872.121266,2155.247417,4,4
1878.752557,2154.474657,4,4
1884.878499,2153.437697,4,4
1891.3164,2152.102849,4,4
1898.101503,2150.458014,4,4
1903.27854,2149.068973,4,4
1970.500612,2130.446652,4,4
1993.345431,2123.930638,4,4
2001.519867,2121.835943,4,4
2007.715371,2120.997483,4,4
2012.737964,2120.714317,4,4
2018.032759,2121.013342,4,4
2024.196912,2122.133998,4,4
2030.368859,2124.311445,4,4
2036.127036,2127.22352,4,4
2042.266691,2131.326724,4,4
2047.261615,2135.717403,4,4
2051.183272,2140.148806,4,4
2059.745603,2154.187783,4,4
2069.218608,2169.258665,4,4
2080.621782,2187.758886,4,4
2087.585662,2206.537271,4,4
2090.570747,2218.293377,4,4
2091.491392,2224.331838,4,4
2092.297002,2233.166173,4,4
2092.54249,2243.362232,4,4
2092.246552,2254.307553,4,4
2091.234597,2272.315567,4,4
2090.863735,2290.350414,4,4
2091.847206,2299.958688,4,4
2093.41787,2306.090494,4,4
2096.131132,2311.601108,4,4
2099.164004,2315.801135,4,4
2103.808453,2320.390667,4,4
2110.38072,2325.227477,4,4
2118.100231,2329.353968,4,4
2125.445261,2332.800961,4,4
2135.936936,2337.607665,4,4
2150.59832,2343.97956,4,4
2173.409111,2353.042052,4,4
2199.044943,2362.382858,4,4
2209.082122,2365.933824,4,4
2249.518949,2379.495736,4,4
2278.190035,2388.230396,4,4
2301.281966,2395.116053,4,4
2330.402882,2402.881744,4,4
2348.931817,2407.356395,4,4
2364.47754,2410.978586,4,4
2384.050408,2414.868319,4,4
2433.711488,2423.938716,4,4
2578.063561,2450.434301,4,4
2595.595259,2454.881568,4,4
2606.713321,2458.948759,4,4
2613.880927,2462.690564,4,4
2624.183152,2468.916443,4,4
2635.673347,2477.468482,4,4
2756.358424,2562.252876,4,4
2778.196902,2575.628175,4,4
2784.767034,2578.607756,4,4
2791.277516,2580.710007,4,4
2799.597853,2582.395446,4,4
2805.583026,2583.243733,4,4
2821.092142,2584.008787,4,4
2829.679289,2582.97215,4,4
2834.585246,2581.825096,4,4
2840.379517,2579.86372,4,4
2846.331074,2576.373741,4,4
2851.876905,2572.61674,4,4
2857.338832,2567.615906,4,4
2863.517513,2559.435571,4,4
2866.791863,2553.270853,4,4
2869.090247,2547.577949,4,4
2873.10521,2530.800745,4,4
2874.855827,2520.438718,4,4
2878.741264,2498.157585,4,4
2879.611137,2484.993646,4,4
2879.725498,2471.260732,4,4
2878.287814,2457.748394,4,4
2874.954048,2428.277389,4,4
2871.125008,2396.572467,4,4
2867.773508,2366.456631,4,4
2866.21069,2334.889845,4,4
2866.343865,2309.128955,4,4
2867.453325,2279.013192,4,4
2869.035391,2217.608627,4,4
2870.995124,2195.146659,4,4
2873.638554,2175.302866,4,4
2878.243369,2156.150758,4,4
2891.602813,2112.714867,4,4
2899.4951,2092.271033,4,4
2906.116046,2078.137254,4,4
2910.283971,2070.813215,4,4
2915.051974,2063.316965,4,4
2929.839633,2043.674432,4,4
2948.423357,2021.825067,4,4
2965.106745,2003.065301,4,4
2974.96355,1993.538231,4,4
2990.469737,1981.408653,4,4
3024.777768,1957.4488,4,4
3044.589075,1943.766207,4,4
3058.337043,1936.536016,4,4
3104.753633,1915.872332,4,4
3211.743562,1868.161997,4,4
3230.497954,1860.294667,4,4
3244.616512,1856.192433,4,4
3259.846404,1853.439499,4,4
3273.727418,1852.359037,4,4
3291.685668,1852.324279,4,4
3410.578853,1853.459301,4,4
3432.942657,1852.425726,4,4
3471.052965,1847.49095,4,4
3545.035999,1836.971215,4,4
3632.671904,1824.299998,4,4
3666.005766,1819.541408,4,4
3689.523942,1814.650058,4,4
3750.979871,1795.863113,4,4
3831.581291,1770.19133,4,4
3840.677998,1766.650274,4,4
3850.06093,1762.645268,4,4
3859.892563,1757.871486,4,4
3870.155809,1752.485161,4,4
3882.456807,1745.107436,4,4
3889.201922,1740.651385,4,4
3895.786083,1736.032833,4,4
3906.461787,1728.020715,4,4
