Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
77;-226.6483;135.8755;0.6857;-230.3101;139.0344;0.8089;-232.1409;140.6139;0.8714;-233.9718;142.1933;0.9338;-237.6336;145.3522;1.0553
78;-227.7505;134.6119;0.7069;-231.3971;137.76;0.8295;-233.2204;139.334;0.8908;-235.0438;140.9081;0.9521;-238.6903;144.0562;1.0748
79;-228.8328;133.3711;0.7284;-232.4651;136.5082;0.8505;-234.2812;138.0767;0.9115;-236.0974;139.6453;0.9725;-239.7297;142.7823;1.0945
80;-229.928;132.1151;0.7511;-233.5464;135.2405;0.8724;-235.3556;136.8032;0.9331;-237.1648;138.3659;0.9937;-240.7832;141.4913;1.1172
81;-231.0689;130.806;0.7773;-234.6735;133.9185;0.896;-236.4758;135.4748;0.9563;-238.2781;137.0311;1.0165;-241.8828;140.1436;1.1471
82;-232.244;129.457;0.8111;-235.8349;132.5559;0.9208;-237.6303;134.1053;0.9806;-239.4258;135.6547;1.0405;-243.0167;138.7535;1.1636
83;-233.442;128.0815;0.8293;-237.0192;131.166;0.9464;-238.8078;132.7083;1.0058;-240.5965;134.2505;1.0652;-244.1737;137.3351;1.201
84;-234.6514;126.6927;0.8546;-238.215;129.7626;0.9725;-239.9968;131.2976;1.0315;-241.7786;132.8325;1.0904;-245.3422;135.9025;1.2198
85;-239.5323;121.0584;0.9654;-243.0455;124.0751;1.0808;-244.8021;125.5835;1.1385;-246.5587;127.0918;1.1962;-250.0719;130.1086;1.3116
86;-243.91;115.9925;1.0646;-247.3784;118.9761;1.1795;-249.1126;120.468;1.2369;-250.8469;121.9598;1.2944;-254.3154;124.9434;1.4093
87;-248.771;110.389;1.1785;-252.1852;113.3389;1.2994;-253.8923;114.8138;1.3581;-255.5994;116.2887;1.4168;-259.0137;119.2385;1.5378
88;-253.4874;104.9594;1.285;-256.8487;107.8654;1.3974;-258.5293;109.3184;1.4536;-260.2099;110.7714;1.5097;-263.5712;113.6774;1.6321
89;-258.1589;99.5755;1.4104;-261.4731;102.4388;1.5166;-263.1302;103.8705;1.5683;-264.7872;105.3022;1.6201;-268.1014;108.1656;1.7262
90;-262.8194;94.1984;1.5111;-266.0934;97.0309;1.6172;-267.7304;98.4471;1.6701;-269.3675;99.8633;1.7231;-272.6415;102.6958;1.839
91;-267.4025;88.9236;1.6393;-270.637;91.7321;1.7276;-272.2542;93.1363;1.7763;-273.8715;94.5406;1.825;-277.106;97.3491;1.9228
92;-272.0936;83.5472;1.782;-275.2758;86.324;1.8439;-276.8669;87.7124;1.8851;-278.458;89.1009;1.9263;-281.6401;91.8777;2.0159
93;-274.5089;80.7932;1.8376;-277.6584;83.5503;1.9054;-279.2332;84.9289;1.9445;-280.8079;86.3075;1.9836;-283.9574;89.0647;2.0532
94;-276.9301;78.0384;1.9123;-280.0471;80.7776;1.9664;-281.6057;82.1473;1.9952;-283.1642;83.5169;2.0239;-286.2812;86.2562;2.078
95;-279.3629;75.2821;2.0071;-282.448;78.0069;2.0292;-283.9905;79.3693;2.0495;-285.5331;80.7317;2.0698;-288.6182;83.4564;2.1112
96;-281.8377;72.4949;2.0673;-284.891;75.2108;2.0928;-286.4176;76.5687;2.1056;-287.9443;77.9267;2.1184;-290.9975;80.6425;2.1426
97;-284.3849;69.6469;2.158;-287.4061;72.3619;2.1657;-288.9167;73.7193;2.17;-290.4274;75.0768;2.1743;-293.4486;77.7917;2.1837
98;-286.9418;66.8268;2.2281;-289.923;69.5567;2.2208;-291.4136;70.9216;2.2164;-292.9042;72.2866;2.2121;-295.8855;75.0166;2.2018
99;-289.4456;64.1228;2.3055;-292.3711;66.8918;2.2802;-293.8339;68.2763;2.2675;-295.2966;69.6608;2.2549;-298.222;72.4298;2.2296
100;-291.8945;61.5867;2.3784;-294.7455;64.4174;2.3378;-296.1711;65.8327;2.3176;-297.5966;67.248;2.2973;-300.4477;70.0787;2.2567
101;-294.2862;59.2703;2.4458;-297.0414;62.1837;2.3918;-298.4189;63.6404;2.3648;-299.7965;65.0972;2.3379;-302.5516;68.0106;2.2839
102;-296.8254;56.9894;2.5142;-299.4683;59.9956;2.4466;-300.7898;61.4987;2.4135;-302.1113;63.0018;2.3804;-304.7543;66.008;2.3141
103;-299.7162;54.5597;2.6048;-302.2361;57.6577;2.5076;-303.496;59.2067;2.468;-304.756;60.7557;2.4284;-307.276;63.8537;2.3503
104;-302.8284;52.1035;2.6577;-305.2382;55.2826;2.5687;-306.4431;56.8721;2.5248;-307.6479;58.4617;2.4808;-310.0576;61.6408;2.3929
105;-306.0319;49.7428;2.7234;-308.368;52.9828;2.6298;-309.536;54.6028;2.583;-310.7041;56.2228;2.5362;-313.0401;59.4628;2.4426
106;-309.1975;47.5385;2.7838;-311.4668;50.8368;2.6876;-312.6014;52.4859;2.6395;-313.7361;54.1351;2.5914;-316.0054;57.4334;2.4953
